game_id,message_count
74788902,24
74788904,24
74788934,36
74788967,26
74788999,24
74789000,30
74789096,27
74789224,32
74789286,24
74789319,24
74789348,26
74789380,26
74789412,23
74789441,24
74789534,36
74789723,30
74789727,30
74789792,24
74789799,36
74789828,30
74789830,24
74789831,30
74789901,26
74789939,26
74789943,26
74789984,24
74789993,24
74789995,24
74789997,33
74789998,26
74790010,24
74790013,26
74790017,26
74790020,24
74790036,26
74790047,24
74790050,26
74790053,24
74790060,24
74790067,26
74790077,26
74790080,38
74790082,26
74790092,34
74790094,24
74790099,26
74790103,40
74790112,26
74790127,28
74790129,28
74790135,24
74790138,26
74790147,28
74790153,24
74790154,24
74790162,24
74790165,30
74790166,24
74790172,42
74790176,24
74790182,26
74790183,30
74790185,24
74790197,24
74790200,24
74790201,30
74790212,30
74790213,32
74790220,28
74790226,36
74790228,30
74790229,28
74790231,24
74790232,30
74790265,32
74790301,23
74790302,40
74790336,30
74790339,36
74790408,30
74790415,24
74790420,30
74790421,42
74790429,24
74790430,24
74790435,36
74790447,30
74790448,24
74790466,24
74790489,24
74790493,24
74790507,24
74790514,33
74790519,26
74790535,38
74790538,24
74790540,34
74790549,24
74790559,28
74790561,24
74790563,26
74790568,30
74790569,30
74790572,30
74790575,34
74790577,26
74790578,38
74790610,30
74790616,28
74790649,26
74790650,24
74790652,26
74790681,24
74790718,30
74790719,23
74790757,24
74790758,24
74790759,26
74790796,30
74790828,24
74790829,30
74790832,28
74790866,34
74790878,24
74790881,30
74790888,24
74790890,24
74790893,34
74790915,24
74790918,30
74790921,30
74790929,26
74790935,36
74790936,36
74790937,30
74790948,30
74790953,24
74790963,30
74790972,36
74790973,24
74790974,30
74790975,30
74790982,38
74790992,36
74791008,36
74791011,24
74791015,30
74791016,28
74791020,26
74791022,24
74791023,26
74791027,24
74791034,34
74791035,24
74791037,28
74791039,30
74791042,34
74791044,26
74791060,28
74791066,24
74791069,24
74791070,26
74791073,26
74791076,24
74791077,28
74791079,26
74791084,30
74791101,38
74791103,32
74791106,30
74791137,38
74791138,24
74791140,30
74791175,24
74791176,28
74791178,30
74791208,23
74791212,36
74791215,24
74791216,46
74791219,25
74791221,36
74791231,34
74791233,36
74791237,28
74791238,30
74791239,26
74791281,30
74791298,36
74791303,26
74791307,24
74791313,28
74791314,30
74791318,24
74791334,36
74791388,34
74791389,28
74791401,26
74791404,26
74791406,33
74791417,26
74791419,26
74791429,26
74791430,26
74791465,34
74791502,30
74791503,24
74791507,24
74791510,24
74791518,26
74791519,26
74791549,26
74791550,30
74791555,24
74791564,24
74791578,24
74791580,26
74791608,34
74791610,28
74791624,24
74791628,26
74791632,38
74791635,24
74791641,24
74791646,24
74791677,26
74791681,33
74791694,26
74791699,24
74791700,26
74791707,36
74791711,26
74791712,26
74791716,30
74791721,30
74791728,33
74791730,30
74791731,28
74791741,26
74791746,34
74791757,24
74791770,30
74791771,36
74791774,24
74791803,34
74791806,24
74791809,26
74791810,40
74791811,36
74791831,26
74791844,30
74791856,24
74791868,30
74791873,30
74791875,24
74791883,46
74791891,30
74791924,30
74791926,24
74791928,34
74791932,24
74791934,26
74791938,28
74791939,24
74791940,34
74791945,28
74791979,34
74791990,24
74791998,24
74792001,24
74792016,24
74792047,30
74792053,30
74792058,36
74792061,30
74792063,24
74792064,24
74792070,32
74792160,28
74792161,24
74792168,24
74792172,24
74792173,26
74792178,24
74792194,26
74792202,30
74792204,26
74792206,34
74792208,28
74792212,24
74792214,34
74792215,34
74792217,30
74792229,28
74792231,29
74792233,36
74792236,24
74792241,24
74792307,26
74792311,37
74792319,29
74792320,30
74792324,24
74792327,30
74792330,24
74792331,30
74792338,40
74792341,23
74792345,26
74792348,32
74792350,24
74792352,23
74792354,24
74792356,30
74792365,34
74792366,28
74792367,30
74792369,24
74792380,24
74792421,40
74792429,24
74792431,36
74792433,28
74792438,30
74792441,24
74792457,24
74792458,36
74792462,24
74792466,30
74792473,24
74792476,24
74792480,26
74792481,28
74792493,30
74792499,26
74792530,24
74792535,24
74792537,24
74792538,24
74792547,26
74792554,26
74792562,30
74792574,24
74792608,24
74792628,28
74792637,24
74792651,32
74792652,24
74792694,24
74792699,24
74792703,30
74792706,35
74792711,26
74792752,46
74792753,28
74792756,32
74792758,30
74792762,26
74792766,26
74792767,36
74792768,35
74792772,24
74792776,29
74792777,23
74792783,36
74792793,26
74792794,34
74792801,24
74792804,25
74792806,32
74792844,26
74792845,34
74792855,30
74792866,28
74792872,30
74792881,38
74792887,24
74792930,30
74792932,26
74792936,24
74792940,24
74792944,24
74792945,24
74792948,24
74792952,28
74792964,24
74792994,24
74792995,30
74792996,36
74792997,26
74793000,24
74793010,26
74793011,30
74793022,34
74793029,24
74793030,26
74793032,30
74793041,30
74793043,26
74793081,24
74793086,24
74793090,24
74793096,36
74793097,30
74793100,30
74793101,30
74793102,24
74793141,24
74793160,30
74793161,24
74793163,30
74793164,30
74793166,24
74793167,24
74793169,26
74793171,24
74793173,28
74793180,26
74793182,23
74793213,24
74793217,23
74793220,24
74793229,36
74793231,28
74793232,24
74793240,36
74793246,36
74793247,28
74793251,30
74793253,24
74793255,38
74793260,24
74793261,30
74793270,24
74793326,32
74793332,30
74793336,26
74793344,28
74793351,26
74793357,34
74793363,34
74793366,24
74793368,24
74793401,26
74793405,26
74793409,24
74793427,34
74793434,24
74793438,36
74793445,24
74793455,24
74793456,26
74793458,38
74793463,26
74793466,34
74793468,30
74793506,24
74793518,24
74793524,24
74793526,26
74793527,24
74793531,24
74793532,34
74793534,26
74793549,28
74793556,28
74793559,30
74793560,24
74793572,26
74793577,26
74793617,24
74793625,36
74793628,36
74793630,24
74793634,40
74793636,24
74793637,24
74793644,30
74793651,30
74793653,30
74793655,24
74793658,30
74793668,26
74793669,24
74793670,29
74793676,24
74793678,30
74793683,26
74793685,24
74793687,24
74793690,30
74793693,32
74793694,34
74793699,28
74793707,34
74793744,26
74793750,30
74793765,24
74793766,24
74793772,24
74793778,30
74793779,32
74793780,24
74793781,29
74793784,24
74793815,24
74793816,30
74793817,24
74793821,24
74793822,24
74793825,30
74793829,30
74793832,26
74793838,30
74793850,24
74793855,24
74793857,24
74793861,30
74793863,32
74793878,24
74793884,36
74793887,26
74793896,24
74793908,24
74793943,24
74793944,38
74793947,26
74793949,24
74793967,30
74793969,28
74793981,24
74793983,36
74793989,24
74793990,24
74793997,32
74793998,30
74794003,26
74794004,28
74794005,36
74794006,30
74794024,26
74794027,28
74794029,34
74794033,30
74794036,24
74794040,30
74794044,24
74794049,38
74794051,24
74794053,24
74794059,24
74794060,30
74794061,24
74794064,28
74794067,34
74794071,29
74794105,38
74794106,24
74794114,24
74794116,26
74794119,42
74794121,34
74794122,34
74794125,30
74794129,30
74794137,30
74794139,30
74794141,24
74794146,24
74794149,24
74794154,24
74794155,34
74794156,34
74794163,36
74794165,34
74794166,30
74794201,32
74794210,24
74794222,42
74794238,36
74794239,26
74794242,36
74794247,30
74794248,30
74794253,38
74794255,30
74794257,24
74794259,38
74794265,40
74794268,24
74794272,30
74794311,34
74794313,26
74794321,28
74794340,30
74794341,24
74794343,24
74794351,28
74794352,28
74794363,26
74794370,26
74794372,28
74794375,24
74794377,24
74794411,26
74794417,34
74794423,26
74794425,24
74794432,34
74794450,34
74794452,26
74794462,30
74794470,24
74794503,24
74794504,26
74794507,30
74794514,30
74794515,28
74794528,30
74794536,24
74794540,25
74794547,30
74794550,30
74794554,24
74794555,30
74794561,26
74794562,36
74794565,30
74794575,26
74794576,30
74794579,24
74794609,26
74794610,30
74794619,34
74794624,24
74794635,34
74794636,30
74794640,26
74794653,24
74794656,26
74794665,30
74794668,30
74794706,26
74794710,30
74794717,34
74794726,24
74794731,29
74794738,30
74794744,26
74794756,24
74794757,36
74794762,28
74794764,34
74794765,24
74794770,24
74794771,24
74794772,34
74794776,42
74794777,34
74794822,26
74794828,30
74794837,24
74794840,30
74794847,26
74794859,30
74794860,24
74794861,34
74794862,30
74794869,30
74794901,28
74794907,36
74794928,28
74794929,26
74794935,22
74794936,26
74794947,26
74794950,28
74794951,30
74794952,26
74794959,34
74794975,30
74794977,25
74794979,26
74795012,24
74795033,24
74795037,26
74795049,24
74795066,24
74795068,24
74795079,26
74795080,30
74795084,26
74795122,24
74795124,24
74795133,23
74795134,26
74795137,36
74795148,24
74795149,30
74795151,30
74795155,32
74795156,26
74795165,24
74795169,24
74795173,34
74795175,26
74795177,24
74795181,28
74795217,24
74795223,24
74795230,36
74795244,26
74795254,24
74795260,40
74795268,28
74795269,36
74795271,24
74795272,24
74795312,26
74795317,34
74795327,34
74795337,26
74795342,23
74795350,24
74795353,24
74795358,28
74795359,30
74795360,24
74795364,24
74795366,34
74795370,30
74795408,34
74795412,30
74795421,30
74795430,24
74795438,26
74795440,30
74795441,36
74795446,26
74795452,28
74795456,34
74795458,24
74795465,28
74795467,24
74795473,24
74795480,46
74795520,30
74795521,32
74795529,34
74795530,26
74795535,26
74795538,24
74795541,30
74795546,30
74795552,24
74795558,26
74795562,30
74795563,26
74795565,24
74795567,30
74795572,26
74795580,24
74795586,26
74795587,24
74795589,29
74795592,24
74795604,28
74795634,30
74795636,30
74795640,36
74795641,32
74795643,24
74795644,32
74795645,34
74795647,26
74795648,24
74795650,32
74795659,26
74795661,26
74795664,30
74795667,28
74795669,24
74795676,24
74795681,24
74795698,30
74795734,36
74795737,24
74795738,24
74795742,23
74795749,30
74795753,34
74795758,26
74795759,24
74795766,30
74795771,24
74795780,24
74795781,24
74795785,26
74795786,30
74795787,30
74795792,28
74795793,24
74795795,24
74795798,28
74795802,30
74795861,28
74795868,42
74795869,30
74795872,24
74795889,30
74795894,24
74795934,30
74795938,34
74795940,28
74795944,27
74795946,24
74795950,24
74795955,40
74795960,32
74795962,28
74795976,30
74795980,24
74795984,29
74796022,24
74796023,26
74796026,24
74796032,24
74796036,30
74796051,30
74796057,24
74796060,24
74796070,30
74796072,30
74796078,30
74796081,30
74796082,30
74796088,24
74796089,26
74796091,23
74796098,29
74796099,32
74796103,30
74796109,36
74796141,24
74796142,24
74796146,30
74796148,30
74796152,26
74796163,36
74796165,24
74796169,30
74796170,28
74796179,24
74796184,24
74796185,28
74796186,30
74796189,24
74796196,30
74796199,24
74796241,26
74796242,30
74796245,26
74796250,46
74796255,28
74796257,24
74796262,32
74796270,30
74796279,26
74796298,26
74796301,40
74796335,29
74796337,24
74796339,34
74796341,26
74796353,16
74796367,36
74796373,24
74796377,24
74796387,46
74796401,24
74796410,24
74796446,24
74796447,24
74796448,28
74796451,24
74796465,24
74796468,24
74796473,30
74796475,26
74796476,24
74796477,24
74796484,30
74796487,24
74796490,24
74796491,26
74796495,26
74796497,26
74796504,26
74796506,30
74796510,24
74796516,30
74796554,32
74796562,24
74796573,34
74796581,24
74796583,24
74796588,28
74796591,24
74796594,34
74796595,26
74796606,26
74796615,24
74796616,26
74796618,24
74796627,26
74796663,24
74796665,26
74796666,38
74796668,30
74796672,28
74796681,30
74796682,28
74796685,36
74796687,24
74796691,36
74796693,28
74796697,38
74796703,26
74796708,30
74796709,24
74796711,24
74796712,34
74796714,24
74796715,24
74796720,24
74796730,28
74796765,30
74796771,30
74796777,32
74796787,26
74796791,26
74796817,36
74796821,38
74796825,26
74796828,39
74796834,26
74796840,24
74796875,26
74796878,36
74796885,30
74796887,30
74796894,24
74796911,34
74796924,28
74796925,24
74796961,24
74796965,24
74796967,44
74796970,26
74796987,28
74796990,34
74797003,30
74797004,30
74797014,29
74797016,32
74797021,26
74797022,24
74797039,30
74797074,32
74797075,28
74797080,33
74797086,24
74797089,30
74797090,30
74797091,30
74797100,28
74797101,30
74797117,36
74797121,24
74797123,26
74797124,30
74797137,34
74797142,36
74797181,24
74797190,26
74797196,30
74797200,26
74797203,26
74797208,29
74797209,34
74797210,24
74797214,24
74797217,33
74797220,26
74797225,26
74797234,32
74797268,30
74797277,24
74797279,24
74797281,26
74797288,34
74797299,30
74797300,24
74797304,24
74797305,30
74797310,26
74797312,28
74797322,26
74797323,24
74797325,26
74797331,34
74797337,36
74797373,30
74797382,48
74797383,28
74797387,30
74797399,24
74797405,30
74797412,24
74797415,30
74797416,24
74797417,30
74797418,28
74797423,30
74797435,28
74797480,24
74797498,34
74797510,34
74797516,30
74797518,26
74797524,28
74797525,24
74797528,28
74797539,28
74797542,30
74797544,26
74797549,24
74797551,26
74797554,36
74797560,29
74797564,30
74797568,24
74797602,26
74797625,24
74797643,24
74797648,24
74797656,24
74797657,26
74797705,24
74797708,30
74797709,26
74797713,24
74797714,30
74797728,38
74797734,36
74797738,24
74797744,28
74797748,26
74797749,30
74797762,30
74797765,23
74797767,44
74797768,29
74797769,30
74797775,24
74797776,24
74797807,26
74797808,24
74797811,30
74797822,30
74797825,24
74797831,24
74797847,24
74797848,26
74797850,36
74797851,24
74797866,26
74797867,30
74797899,24
74797901,25
74797905,30
74797906,30
74797908,26
74797912,26
74797914,30
74797917,28
74797920,36
74797926,26
74797931,28
74797932,37
74797937,24
74797941,36
74797954,26
74797956,28
74797957,24
74797958,28
74797997,30
74798010,30
74798011,36
74798012,29
74798014,34
74798016,26
74798028,28
74798031,26
74798033,26
74798036,30
74798042,25
74798043,30
74798052,24
74798053,24
74798089,34
74798092,32
74798094,24
74798096,26
74798098,24
74798101,24
74798104,24
74798110,24
74798117,24
74798119,24
74798124,26
74798125,29
74798126,24
74798127,30
74798129,30
74798161,30
74798162,34
74798164,24
74798200,33
74798201,34
74798208,24
74798212,30
74798215,24
74798220,24
74798223,26
74798226,24
74798230,30
74798239,30
74798247,25
74798257,34
74798265,26
74798266,26
74798272,26
74798305,34
74798319,23
74798325,26
74798333,23
74798337,24
74798354,24
74798356,26
74798362,24
74798365,33
74798374,30
74798409,24
74798414,26
74798415,30
74798417,24
74798419,30
74798426,26
74798428,30
74798432,26
74798434,22
74798436,24
74798444,30
74798446,26
74798450,28
74798452,36
74798457,30
74798459,30
74798460,30
74798462,24
74798508,28
74798518,24
74798537,30
74798542,24
74798546,28
74798549,34
74798551,36
74798552,24
74798554,34
74798556,26
74798560,30
74798569,30
74798578,30
74798579,26
74798581,30
74798591,26
74798607,36
74798617,28
74798619,38
74798622,30
74798626,36
74798630,30
74798631,36
74798639,23
74798643,43
74798648,26
74798685,30
74798713,28
74798715,26
74798721,24
74798722,24
74798724,24
74798729,36
74798731,36
74798736,30
74798737,24
74798745,30
74798779,24
74798781,30
74798787,30
74798789,28
74798793,36
74798794,24
74798796,36
74798799,24
74798811,30
74798817,24
74798818,24
74798827,24
74798831,28
74798835,30
74798837,24
74798850,30
74798851,42
74798894,24
74798895,24
74798896,24
74798897,33
74798898,24
74798901,28
74798904,28
74798908,28
74798910,28
74798916,26
74798931,26
74798936,26
74798937,26
74798954,24
74798994,24
74798996,24
74798999,28
74799001,24
74799007,26
74799011,24
74799012,30
74799029,34
74799035,40
74799036,24
74799039,30
74799046,28
74799078,26
74799086,24
74799093,24
74799094,24
74799098,28
74799099,30
74799101,30
74799102,30
74799112,34
74799124,28
74799126,24
74799127,30
74799128,26
74799130,30
74799132,24
74799133,34
74799135,36
74799177,24
74799188,28
74799195,24
74799199,30
74799208,30
74799210,36
74799218,32
74799220,46
74799221,30
74799227,24
74799234,26
74799236,24
74799239,28
74799245,26
74799279,30
74799281,30
74799284,24
74799288,24
74799297,24
74799304,24
74799310,28
74799318,28
74799323,30
74799325,24
74799349,28
74799353,34
74799354,34
74799360,24
74799361,24
74799362,24
74799395,30
74799400,38
74799406,34
74799412,24
74799415,30
74799416,26
74799417,24
74799418,26
74799422,30
74799434,34
74799435,30
74799437,42
74799450,38
74799462,30
74799466,26
74799471,28
74799502,29
74799511,26
74799516,30
74799522,24
74799523,30
74799527,24
74799530,24
74799531,28
74799532,24
74799535,23
74799538,24
74799539,30
74799540,24
74799541,36
74799543,34
74799550,24
74799586,24
74799590,26
74799596,24
74799597,36
74799602,24
74799611,24
74799616,30
74799618,26
74799620,36
74799627,30
74799635,28
74799636,24
74799641,28
74799645,46
74799649,26
74799650,26
74799652,36
74799687,31
74799697,24
74799710,24
74799721,29
74799724,26
74799728,25
74799729,41
74799733,30
74799742,24
74799743,32
74799761,22
74799775,33
74799777,24
74799780,24
74799813,24
74799820,24
74799821,34
74799832,30
74799836,24
74799840,24
74799843,24
74799845,24
74799854,34
74799858,30
74799864,30
74799870,30
74799876,26
74799897,26
74799927,30
74799930,29
74799938,30
74799939,24
74799947,34
74799949,30
74799954,30
74799955,24
74799958,36
74799962,30
74799963,34
74799969,32
74799970,26
74799985,22
74799987,30
74800000,28
74800037,24
74800045,44
74800046,32
74800047,24
74800048,24
74800052,32
74800054,30
74800055,32
74800062,24
74800065,24
74800071,29
74800078,30
74800081,30
74800083,24
74800086,24
74800089,32
74800123,34
74800124,24
74800131,23
74800134,26
74800137,26
74800138,30
74800158,38
74800159,24
74800164,26
74800165,28
74800174,28
74800175,26
74800178,34
74800187,24
74800226,30
74800237,24
74800238,24
74800247,30
74800258,34
74800264,24
74800265,23
74800294,24
74800327,24
74800333,30
74800340,30
74800346,26
74800348,24
74800350,26
